"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,DATOS PARA LA MEDICIÓN,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P,,,,,,,,,"GASTO PROMEDIO,  MMPCD"
0.011622095,7.050921914,,0.00882299,9.014527524,,,ESTRANGULADOR (1/64 in),14,,,0.00882299,,9.014527524,,#NUM!,,0,812.6170648,-812.6170648,,,,,,,,,
0.078607656,7.048935852,,0.072651286,9.025347987,,,"BOURDON LINEA, RANGO PSI",1000,,,0.072651286,7.049112453,9.025347987,,0.588436405,,993.7997276,814.5690629,179.2306647,,,,,,,,,
0.134937801,7.044136354,,0.132377897,9.017462941,,,"BOURDON CABEZA, RANGO PSI",2000,,,0.132377897,7.044354465,9.017462941,,0.588120323,,992.4585966,813.146379,179.3122176,,,,,,,,,
0.20203089,7.042129756,,0.199729627,9.012824327,,,,,,,0.199729627,7.042198581,9.012824327,,0.588260385,,991.8512171,812.3100235,179.5411935,,,,,,,,,
0.26579603,7.060817793,,0.255738044,9.021184249,,,,,,,0.255738044,7.057870038,9.021184249,,0.593984589,,996.2705896,813.8176526,182.452937,,,,,,,,,
0.325062503,7.043813525,,0.322000755,9.025112471,,,,,,,0.322000755,7.044691978,9.025112471,,0.586248459,,992.5537013,814.5265512,178.0271501,,,,,,,,,
0.391563576,7.049388784,,0.380938095,9.024766693,,,,,,,0.380938095,7.048497974,9.024766693,,0.588278976,,993.6264739,814.4641386,179.1623353,,,,,,,,,
0.447516638,7.05094467,,0.447097216,9.028740764,,,,,,,0.447097216,7.050933008,9.028740764,,0.588456752,,994.3131255,815.1815978,179.1315278,,,,,,,,,
0.507295118,7.034659311,,0.505916276,9.029169568,,,,,,,0.505916276,7.035034947,9.029169568,,0.580217885,,989.8343341,815.2590309,174.5753032,,,,,,,,,
0.573164538,7.047745737,,0.568246941,9.021485179,,,,,,,0.568246941,7.046768747,9.021485179,,0.588275143,,993.1389954,813.8719484,179.267047,,,,,,,,,
0.632782455,7.037338312,,0.630713413,9.013740682,,,,,,,0.630713413,7.037699502,9.013740682,,0.585730619,,990.5842856,812.4752109,178.1090748,,,,,,,,,
0.698372675,7.050478061,,0.695572635,9.026232517,,,,,,,0.695572635,7.049917126,9.026232517,,0.588609661,,994.0266297,814.7287345,179.2978952,,,,,,,,,
0.758105477,7.040956983,,0.758009889,9.019477434,,,,,,,0.758009889,7.040972219,9.019477434,,0.585862291,,991.5057959,813.5097318,177.9960641,,,,,,,,,
0.827577838,7.043649532,,0.819651315,9.01961294,,,,,,,0.819651315,7.043342323,9.01961294,,0.587032337,,992.1734216,813.5341759,178.6392457,,,,,,,,,
0.88706249,7.039927332,,0.881290374,9.019749494,,,,,,,0.881290374,7.040288517,9.019749494,,0.585441241,,991.3132482,813.5588093,177.7544388,,,,,,,,,
0.951705397,7.018233592,,0.949532916,9.026169107,,,,,,,0.949532916,7.018962663,9.026169107,,0.572768393,,985.3167372,814.7172874,170.5994498,,,,,,,,,
1.015938769,7.040699106,,1.010937032,9.027744523,,,,,,,1.010937032,7.038949757,9.027744523,,0.582608576,,990.9362737,815.0017117,175.934562,,,,,,,,,
1.075046211,7.043676011,,1.071465819,9.035769913,,,,,,,1.071465819,7.043495688,9.035769913,,0.582768155,,992.21663,816.4513792,175.7652508,,,,,,,,,
1.139649519,7.029197568,,1.130949024,9.022552635,,,,,,,1.130949024,7.031147462,9.022552635,,0.580017458,,988.7406928,814.0645605,174.6761323,,,,,,,,,
1.198804926,7.032165313,,1.196924431,9.016455084,,,,,,,1.196924431,7.032070971,9.016455084,,0.582134826,,989.0004427,812.9646229,176.0358199,,,,,,,,,
1.263695871,7.019161562,,1.257222803,9.025463724,,,,,,,1.257222803,7.020458726,9.025463724,,0.57373324,,985.7368144,814.5899544,171.14686,,,,,,,,,
1.322379027,7.028785476,,1.322168699,9.027748842,,,,,,,1.322168699,7.028750983,9.027748842,,0.577377491,,988.0668076,815.0024915,173.0643161,,,,,,,,,
1.387054656,7.02151012,,1.381122746,9.021948152,,,,,,,1.381122746,7.0221774,9.021948152,,0.575578457,,986.2195087,813.9554847,172.264024,,,,,,,,,
1.451875581,7.014207014,,1.446060852,9.024236718,,,,,,,1.446060852,7.014862135,9.024236718,,0.571182204,,984.1658155,814.3684833,169.7973321,,,,,,,,,
1.510246593,7.025035967,,1.510784274,9.02793657,,,,,,,1.510784274,7.025035791,9.02793657,,0.57541494,,987.0225574,815.036387,171.9861704,,,,,,,,,
1.574612363,7.025014948,,1.574531142,9.038546507,,,,,,,1.574531142,7.025014975,9.038546507,,0.572492829,,987.0167079,816.9532296,170.0634783,,,,,,,,,
1.63897855,7.02499385,,1.632546768,9.040256651,,,,,,,1.632546768,7.024995958,9.040256651,,0.572011361,,987.0113642,817.2624032,169.7489609,,,,,,,,,
1.703345155,7.024972671,,1.696830988,9.028884621,,,,,,,1.696830988,7.024974815,9.028884621,,0.5751244,,987.0054229,815.207575,171.7978479,,,,,,,,,
1.759017036,7.016142436,,1.760126794,9.040932473,,,,,,,1.760126794,7.016267652,9.040932473,,0.567292591,,984.5602354,817.3845997,167.1756357,,,,,,,,,
1.822918993,7.023352608,,1.823526521,9.037700177,,,,,,,1.823526521,7.023421567,9.037700177,,0.571901322,,986.5690101,816.8002449,169.7687653,,,,,,,,,
1.886679306,7.030589832,,1.886984205,9.034442229,,,,,,,1.886984205,7.030496315,9.034442229,,0.576449711,,988.5575688,816.2114639,172.3461049,,,,,,,,,
1.949535508,7.011311011,,1.948891648,9.053494175,,,,,,,1.948891648,7.011508492,9.053494175,,0.56128321,,983.2250266,819.6575677,163.5674588,,,,,,,,,
2.013172644,7.020043149,,2.007200611,9.041309458,,,,,,,2.007200611,7.019223681,9.041309458,,0.568725011,,985.3900217,817.4527671,167.9372547,,,,,,,,,
2.07421131,7.158589519,,2.074423279,9.056711091,,,,,,,2.074423279,7.15873624,9.056711091,,0.635243029,,1024.950091,820.2401579,204.7099331,,,,,,,,,
2.140844069,7.204711324,,2.132008524,9.0510102,,,,,,,2.132008524,7.198595544,9.0510102,,0.656160479,,1036.395556,819.2078565,217.1876998,,,,,,,,,
