 Fecha, Hora, Medicion de cabeza/diferencial, , Fecha, Hora, Medicion de linea/estatica, , Pres cabeza(psi)/pres diferencial(inH2O), Pres linea(psi)/pres estatica(psi), Gasto calculado (MMpcd), , Pres linea(psi)/pres estatica(psi) prom, 131.9089, Pres cabeza(psi)/pres diferencial(inH2O) prom, 13.0926, Gasto (MMpcd) prom, 2.5397
 "2022/1/24 0:7", 0:7, 3.67, , "2022/1/24 0:7", 0:7, 3.55, , 13.47201453081484, 126.0338759636119, 2.5181764728108496
 "2022/1/24 0:12", 0:12, 3.724, , "2022/1/24 0:12", 0:12, 3.538, , 13.865897588299983, 125.1745472253848, 2.5459991433807674
 "2022/1/24 0:18", 0:18, 3.725, , "2022/1/24 0:18", 0:18, 3.507, , 13.872289920962684, 122.97123741265248, 2.5240740648882998
 "2022/1/24 0:42", 0:42, 3.665, , "2022/1/24 0:42", 0:42, 3.523, , 13.433778663254268, 124.14610562738856, 2.4956971844430846
 "2022/1/24 1:5", 1:5, 3.346, , "2022/1/24 1:5", 1:5, 3.531, , 11.198957811840852, 124.71048322586306, 2.283844494805772
 "2022/1/24 1:8", 1:8, 3.29, , "2022/1/24 1:8", 1:8, 3.543, , 10.824618166176958, 125.5596140399945, 2.2529809697724525
 "2022/1/24 1:12", 1:12, 3.311, , "2022/1/24 1:12", 1:12, 3.527, , 10.959433437183536, 124.3991675013994, 2.2564672422878918
 "2022/1/24 1:15", 1:15, 3.333, , "2022/1/24 1:15", 1:15, 3.545, , 11.109783125921286, 125.6633322366686, 2.283406962582496
 "2022/1/24 1:19", 1:19, 3.323, , "2022/1/24 1:19", 1:19, 3.538, , 11.040859200187025, 125.17125221089235, 2.2718517013799424
 "2022/1/24 1:21", 1:21, 3.355, , "2022/1/24 1:21", 1:21, 3.553, , 11.253086048603144, 126.255858159834, 2.303497967879387
 "2022/1/24 1:26", 1:26, 3.451, , "2022/1/24 1:26", 1:26, 3.554, , 11.907988737649758, 126.33899687424967, 2.3703592057295184
 "2022/1/24 1:34", 1:34, 3.474, , "2022/1/24 1:34", 1:34, 3.543, , 12.065371315883128, 125.49722087201326, 2.378009825718171
 "2022/1/24 1:38", 1:38, 3.471, , "2022/1/24 1:38", 1:38, 3.54, , 12.049797043899071, 125.33894621360088, 2.374975479357212
 "2022/1/24 1:42", 1:42, 3.641, , "2022/1/24 1:42", 1:42, 3.538, , 13.257142052413787, 125.18163422702351, 2.4895537536957915
 "2022/1/24 1:49", 1:49, 3.646, , "2022/1/24 1:49", 1:49, 3.542, , 13.293634377370035, 125.47902848704445, 2.495937368554233
 "2022/1/24 1:52", 1:52, 3.72, , "2022/1/24 1:52", 1:52, 3.547, , 13.83585352403628, 125.78199213018284, 2.54940278968833
 "2022/1/24 1:57", 1:57, 3.726, , "2022/1/24 1:57", 1:57, 3.551, , 13.88197236737084, 126.0736439337547, 2.5566070669037533
 "2022/1/24 2:5", 2:5, 3.747, , "2022/1/24 2:5", 2:5, 3.539, , 14.043051532783966, 125.21466897078703, 2.5626222590224073
 "2022/1/24 2:9", 2:9, 3.827, , "2022/1/24 2:9", 2:9, 3.551, , 14.648301084111383, 126.1294650687976, 2.6268069120333757
 "2022/1/24 2:12", 2:12, 3.667, , "2022/1/24 2:12", 2:12, 3.554, , 13.448466152495982, 126.31142659135406, 2.518743494205073
 "2022/1/24 2:14", 2:14, 3.709, , "2022/1/24 2:14", 2:14, 3.533, , 13.757887365676716, 124.83592792255911, 2.5326309869031287
 "2022/1/24 2:19", 2:19, 3.665, , "2022/1/24 2:19", 2:19, 3.524, , 13.428653164983531, 124.1790873747144, 2.4955524664339404
