"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P
2.702186431,7.006052237,,2.321820083,8.508521189,,,,,2.702186431,7.006052237,8.511844585,,0.68467595,,981.6953589,724.5149825,257.1803764
2.759362784,6.960946354,,2.637433993,8.512162176,,,,,2.759362784,6.960946354,8.542396407,,0.659111112,,969.095483,729.7253638,239.3701192
2.824033429,6.934547641,,2.699523817,8.510421835,,,,,2.824033429,6.934547641,8.583948109,,0.638861941,,961.7590197,736.8416514,224.9173682
2.887315531,6.934980808,,2.762424051,8.544032176,,,,,2.887315531,6.934980808,8.595612998,,0.63657854,,961.8791762,738.8456282,223.033548
2.948416614,6.962397207,,2.823779508,8.583901303,,,,,2.948416614,6.962397207,8.606875857,,0.64644629,,969.4994974,740.7831202,228.7163772
3.013101135,7.032010231,,2.948444437,8.606880986,,,,,3.013101135,7.032010231,8.606005066,,0.677418399,,988.9833578,740.6332319,248.350126
3.074881645,7.039653554,,3.071318508,8.605216381,,,,,3.074881645,7.039653554,8.605938887,,0.680781977,,991.1344431,740.6218413,250.5126018
3.139421236,7.020464821,,3.13039032,8.617194524,,,,,3.139421236,7.020464821,8.616038711,,0.670307856,,985.7385262,742.3612306,243.3772956
3.204100855,7.069442433,,3.19338979,8.609131598,,,,,3.204100855,7.069442433,8.609378679,,0.693111239,,999.5403264,741.2140123,258.326314
3.262662928,7.037230635,,3.322385495,8.612107243,,,,,3.262662928,7.037230635,8.610729576,,0.678759246,,990.4523002,741.4466383,249.0056619
3.329340381,7.067029603,,3.384695746,8.610785982,,,,,3.329340381,7.067029603,8.611959768,,0.691550887,,998.8581481,741.6585104,257.1996377
3.384211116,7.066581938,,3.447033255,8.609455782,,,,,3.384211116,7.066581938,8.610796258,,0.691585196,,998.7316056,741.458122,257.2734836
3.454176312,7.069822105,,3.570737008,8.614517083,,,,,3.454176312,7.069822105,8.609748038,,0.693203988,,999.6476918,741.2776128,258.370079
3.578225572,7.081585136,,3.632094351,8.619942116,,,,,3.578225572,7.081585136,8.615179199,,0.697260274,,1002.976961,742.2131264,260.7638343
3.64229591,7.076913196,,3.699021839,8.605766287,,,,,3.64229591,7.076913196,8.617781336,,0.694713853,,1001.654008,742.6615516,258.9924561
3.696520392,7.082718212,,3.820523565,8.624406914,,,,,3.696520392,7.082718212,8.606296115,,0.69948794,,1003.297945,740.6833283,262.6146172
3.760584919,7.079240455,,3.886780878,8.617379978,,,,,3.760584919,7.079240455,8.61521121,,0.696233119,,1002.312908,742.2186419,260.0942666
3.828729233,7.09834614,,3.946789561,8.62957169,,,,,3.828729233,7.09834614,8.62353666,,0.702919315,,1007.730358,743.6538453,264.0765131
3.887885949,7.084417818,,4.010960319,8.610886652,,,,,3.887885949,7.084417818,8.617604491,,0.698018245,,1003.779516,742.6310716,261.1484449
3.951460994,7.087020913,,4.068032561,8.616528648,,,,,3.951460994,7.087020913,8.628211477,,0.697069783,,1004.517309,744.460333,260.0569756
4.073982498,7.084080867,,4.135348359,8.629721394,,,,,4.073982498,7.084080867,8.617694734,,0.697853867,,1003.684035,742.6466253,261.0374094
4.133222831,7.076802115,,4.199197078,8.616649874,,,,,4.133222831,7.076802115,8.629304826,,0.692388707,,1001.622563,744.6490179,256.9735456
4.203091826,7.061169695,,4.255957251,8.623018543,,,,,4.203091826,7.061169695,8.617086877,,0.687976109,,997.2023492,742.5418625,254.6604867
4.265890488,7.072827709,,4.320508131,8.630191199,,,,,4.265890488,7.072827709,8.624122288,,0.691677848,,1000.497836,743.7548524,256.7429837
4.324938037,7.072234034,,4.384906927,8.637413725,,,,,4.324938037,7.072234034,8.630688027,,0.69011415,,1000.329885,744.8877582,255.4421265
4.391672947,7.046825481,,4.449152595,8.644686462,,,,,4.391672947,7.046825481,8.638179652,,0.677433802,,993.1549872,746.181477,246.9735102
4.45376557,7.063852681,,4.512200255,8.639780402,,,,,4.45376557,7.063852681,8.644327503,,0.683697994,,997.9602939,747.2439798,250.7163141
4.512814833,7.064699903,,4.574602111,8.640362586,,,,,4.512814833,7.064699903,8.639786135,,0.684986156,,998.1996944,746.4590447,251.7406497
4.571455685,7.070786412,,4.63699204,8.640948681,,,,,4.571455685,7.070786412,8.640333231,,0.687552415,,999.9204097,746.5535834,253.3668263
4.640779683,7.07088984,,4.699369924,8.641538726,,,,,4.640779683,7.07088984,8.640984509,,0.687467293,,999.9496626,746.6661328,253.2835298
4.697148252,7.058910405,,4.761576509,8.643402246,,,,,4.697148252,7.058910405,8.64151771,,0.682087706,,996.5643222,746.7582834,249.8060388
4.764570166,7.042510288,,4.823003999,8.650772436,,,,,4.764570166,7.042510288,8.643761431,,0.674387809,,991.939023,747.1461168,244.7929062
4.82267469,7.055227716,,4.884264228,8.644215677,,,,,4.82267469,7.055227716,8.650732925,,0.678591203,,995.5247626,748.3518014,247.1729612
4.889936699,7.044753662,,4.945534858,8.651637303,,,,,4.889936699,7.044753662,8.644902776,,0.675147312,,992.5710831,747.34344,245.2276431
4.946386449,7.039068952,,5.067042946,8.659906266,,,,,4.946386449,7.039068952,8.651695256,,0.671232648,,990.9698343,748.518308,242.4515263
5.013910337,7.03010107,,5.136236864,8.657974587,,,,,5.013910337,7.03010107,8.656290444,,0.666291596,,988.446421,749.3136426,239.1327784
5.071144875,7.049411164,,5.19673035,8.658045663,,,,,5.071144875,7.049411164,8.659791753,,0.674157839,,993.8839553,749.9199321,243.9640232
5.138213919,7.04649243,,5.257954486,8.644757705,,,,,5.138213919,7.04649243,8.65797691,,0.673235201,,993.0611113,749.6056417,243.4554696
5.194263416,7.047172569,,5.317697096,8.651366166,,,,,5.194263416,7.047172569,8.658042764,,0.673523711,,993.2528244,749.617045,243.6357794
5.261325434,7.045525175,,5.385976906,8.656936348,,,,,5.261325434,7.045525175,8.645130584,,0.675442178,,992.7885,747.3828282,245.4056718
