"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,DATOS PARA LA MEDICIÓN,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P,,,,,,,,,"GASTO PROMEDIO,  MMPCD"
1.883654354,7.347605372,,1.884595073,8.434103149,,,,,,,1.884595073,7.346793377,8.434103149,,0.839269464,,1079.507458,711.3409593,368.1664991,,,,,,,,,
1.946834006,7.293070975,,1.930207478,8.424508742,,,,,,,1.930207478,7.307422395,8.424508742,,0.824837071,,1067.968441,709.7234754,358.2449658,,,,,,,,,
2.012409398,7.276092275,,1.994991772,8.420359991,,,,,,,1.994991772,7.280602025,8.420359991,,0.81463184,,1060.143317,709.0246238,351.1186932,,,,,,,,,
2.076463507,7.248696195,,2.068077737,8.419385112,,,,,,,2.068077737,7.252282807,8.419385112,,0.803306481,,1051.912118,708.8604566,343.0516617,,,,,,,,,
2.131359883,7.241470056,,2.132206531,8.42300395,,,,,,,2.132206531,7.241109811,8.42300395,,0.798191618,,1048.673426,709.4699555,339.2034705,,,,,,,,,
2.196386658,7.213801445,,2.186596747,8.414813143,,,,,,,2.186596747,7.21796701,8.414813143,,0.790095536,,1041.980955,708.0908022,333.890153,,,,,,,,,
2.261906027,7.187148769,,2.260158026,8.431527761,,,,,,,2.260158026,7.18785984,8.431527761,,0.775081121,,1033.306582,710.9066039,322.3999777,,,,,,,,,
2.327307471,7.165685586,,2.324582498,8.490859548,,,,,,,2.324582498,7.166579857,8.490859548,,0.756269925,,1027.197337,720.9469586,306.2503784,,,,,,,,,
2.382192864,7.147691955,,2.386319097,8.51799192,,,,,,,2.386319097,7.149326342,8.51799192,,0.744309553,,1022.257343,725.5618634,296.6954796,,,,,,,,,
2.448962468,7.174139181,,2.44783821,8.529405561,,,,,,,2.44783821,7.173693867,8.529405561,,0.752512253,,1029.237674,727.5075922,301.7300816,,,,,,,,,
2.515001175,7.170044908,,2.508986621,8.541997384,,,,,,,2.508986621,7.170417799,8.541997384,,0.748907542,,1028.297828,729.6571931,298.6406352,,,,,,,,,
2.569694944,7.157374838,,2.571171461,8.52943621,,,,,,,2.571171461,7.157910131,8.52943621,,0.745881636,,1024.713549,727.5128206,297.2007282,,,,,,,,,
2.623916854,7.1770323,,2.632339257,8.532562202,,,,,,,2.632339257,7.180500669,8.532562202,,0.754810302,,1031.191797,728.0461773,303.1456198,,,,,,,,,
2.699075721,7.207982928,,2.693448247,8.535714068,,,,,,,2.693448247,7.205665519,8.535714068,,0.764794289,,1038.432311,728.5841465,309.848165,,,,,,,,,
2.763853799,7.21046418,,2.763211357,8.538663953,,,,,,,2.763211357,7.210439572,8.538663953,,0.766278022,,1039.808776,729.087821,310.7209555,,,,,,,,,
2.827877855,7.218049447,,2.824791398,8.533314255,,,,,,,2.824791398,7.217683779,8.533314255,,0.770229022,,1041.899183,728.1745217,313.7246608,,,,,,,,,
2.882006578,7.2107962,,2.886472487,8.527920099,,,,,,,2.886472487,7.21019592,8.527920099,,0.768035598,,1039.738504,727.2542121,312.484292,,,,,,,,,
2.947145535,7.202040613,,2.946262669,8.53842669,,,,,,,2.946262669,7.202159282,8.53842669,,0.762855465,,1037.421966,729.0473034,308.3746631,,,,,,,,,
3.012331374,7.194468614,,3.007861587,8.533955606,,,,,,,3.007861587,7.194987825,8.533955606,,0.760634098,,1035.356996,728.2839829,307.0730132,,,,,,,,,
3.078614021,7.175771473,,3.068579968,8.535837287,,,,,,,3.068579968,7.178601899,8.535837287,,0.753437174,,1030.646504,728.6051819,302.0413225,,,,,,,,,
3.141655051,7.18976389,,3.131666464,8.521843684,,,,,,,3.131666464,7.18754685,8.521843684,,0.759634212,,1033.216594,726.2181977,306.9983967,,,,,,,,,
3.184811165,7.188182137,,3.201144531,8.523956499,,,,,,,3.201144531,7.194475363,8.523956499,,0.762160741,,1035.209515,726.578344,308.6311711,,,,,,,,,
3.266582762,7.219688635,,3.261699086,8.527228765,,,,,,,3.261699086,7.21780696,8.527228765,,0.771327472,,1041.934746,727.1363041,314.7984422,,,,,,,,,
3.321877446,7.206816904,,3.321314017,8.536325751,,,,,,,3.321314017,7.206948062,8.536325751,,0.76522424,,1038.802007,728.6885733,310.113434,,,,,,,,,
3.388060736,7.194555507,,3.380763112,8.545495701,,,,,,,3.380763112,7.195907496,8.545495701,,0.758998494,,1035.621694,730.2549678,305.3667259,,,,,,,,,
