"TIEMPO, HRS",LECTURA CABEZA,,"TIEMPOS, HRS",LECTURA LINEA,,,,,"INTER TIME, HRS",INTER LECTURA CABEZA,INTER LECTURA LINEA,,"GASTO, MMPCD",,PRESIÓN CABEZA,PRESIÓN LINEA,Delta P
0.006979826,7.317427549,,0.012593179,8.639755663,,,,,0.012593179,7.31681416,8.639755663,,0.79340571,,1070.715389,746.4537792,324.26161
0.070851165,7.31044813,,0.072911388,8.63753677,,,,,0.072911388,7.310221731,8.63753677,,0.791009395,,1068.786835,746.0704145,322.7164207
0.134862405,7.303413911,,0.124647691,8.635623391,,,,,0.124647691,7.30453641,8.635623391,,0.788942752,,1067.125043,745.7399135,321.3851296
0.198914654,7.296758133,,0.193680206,8.633055569,,,,,0.193680206,7.297302054,8.633055569,,0.786336256,,1065.012345,745.2964846,319.7158607
0.262853038,7.291777524,,0.262597681,8.631847661,,,,,0.262597681,7.291797415,8.631847661,,0.784222315,,1063.406191,745.0879404,318.3182505
0.326212442,7.29194504,,0.322200503,8.63612426,,,,,0.322200503,7.291934433,8.63612426,,0.783529971,,1063.446156,745.8264223,317.6197332
0.389568138,7.292113596,,0.381719654,8.640428295,,,,,0.381719654,7.292092715,8.640428295,,0.782840072,,1063.492323,746.5700113,316.9223121
0.452920091,7.2922832,,0.449638281,8.645381052,,,,,0.449638281,7.292274414,8.645381052,,0.782043851,,1063.545323,747.4261354,316.1191872
0.516065977,7.294097117,,0.511270655,8.636611952,,,,,0.511270655,7.293959367,8.636611952,,0.784300675,,1064.036865,745.91066,318.126205
0.578513834,7.300783444,,0.572341421,8.633253686,,,,,0.572341421,7.30012256,8.633253686,,0.787492688,,1065.835788,745.3306921,320.5050957
0.630290727,7.307044819,,0.633479633,8.629873305,,,,,0.633479633,7.305781775,8.629873305,,0.790469066,,1067.488947,744.7471327,322.7418143
0.698443117,7.280051396,,0.6918403,8.640716123,,,,,0.6918403,7.282666603,8.640716123,,0.778796378,,1060.744657,746.6197512,314.1249059
0.760721035,7.287757451,,0.761126094,8.640116222,,,,,0.761126094,7.287641221,8.640116222,,0.781010173,,1062.194291,746.5160833,315.6782079
0.828572007,7.268287881,,0.824510666,8.629334576,,,,,0.824510666,7.269453267,8.629334576,,0.775213037,,1056.899016,744.6541522,312.2448638
0.890046812,7.28123613,,0.884863211,8.632550962,,,,,0.884863211,7.280144324,8.632550962,,0.779170839,,1060.010027,745.2093612,314.8006663
0.944613079,7.275775629,,0.94854744,8.621671057,,,,,0.94854744,7.274720653,8.621671057,,0.778793509,,1058.431212,743.3321181,315.0990935
1.013076113,7.257417665,,1.00878979,8.625845207,,,,,1.00878979,7.258567017,8.625845207,,0.77122018,,1053.735903,744.0520553,309.6838476
1.077310652,7.260584258,,1.068199216,8.635611474,,,,,1.068199216,7.260135088,8.635611474,,0.770144707,,1054.19123,745.7378553,308.4533746
